Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:27:02 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:07 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:12 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:17 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:22 UTC 2014,0.2004,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:27 UTC 2014,0.2004,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:32 UTC 2014,0.2004,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:37 UTC 2014,0.2004,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:42 UTC 2014,0.2004,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:47 UTC 2014,0.2004,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:52 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:57 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:03 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:08 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:13 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:18 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:23 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:28 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:33 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:38 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:43 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:48 UTC 2014,0.3008,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:53 UTC 2014,0.3008,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:58 UTC 2014,0.3008,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:03 UTC 2014,0.3008,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:09 UTC 2014,0.3008,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:14 UTC 2014,0.3008,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:19 UTC 2014,0.0502,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:24 UTC 2014,0.0502,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:29 UTC 2014,0.0502,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:34 UTC 2014,0.0502,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:39 UTC 2014,0.0502,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:44 UTC 2014,0.0502,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:49 UTC 2014,0.2499,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:29:54 UTC 2014,0.2499,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:29:59 UTC 2014,0.2499,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:04 UTC 2014,0.2499,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:09 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:14 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:19 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:24 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:29 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:35 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:40 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:45 UTC 2014,0.1003,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:50 UTC 2014,0.1003,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:55 UTC 2014,0.1003,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:00 UTC 2014,0.1003,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:05 UTC 2014,0.1003,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:10 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:15 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:20 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:25 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:30 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:35 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:40 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:45 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:50 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:56 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:01 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:06 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:11 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:16 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:21 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:26 UTC 2014,0.1504,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:31 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:36 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:41 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:46 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:51 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:56 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:01 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:06 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:12 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:17 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:22 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:27 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:32 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:37 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:42 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:47 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:52 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:57 UTC 2014,0.2006,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:02 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:07 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:12 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:18 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:23 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:28 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:33 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:38 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:43 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:48 UTC 2014,0.4509,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:53 UTC 2014,0.4509,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:58 UTC 2014,0.4509,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:03 UTC 2014,0.4509,0.12,1.0,AppServer_scaleIn,
