Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:06:16 UTC 2014,47.3844,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:21 UTC 2014,47.3595,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:26 UTC 2014,49.7587,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:31 UTC 2014,49.6431,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:36 UTC 2014,49.6431,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:41 UTC 2014,47.1496,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:46 UTC 2014,47.1496,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:51 UTC 2014,47.654,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:56 UTC 2014,46.2975,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:01 UTC 2014,46.2488,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:07 UTC 2014,50.8023,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:12 UTC 2014,50.8023,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:17 UTC 2014,50.8273,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:22 UTC 2014,41.3773,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:27 UTC 2014,38.6978,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:32 UTC 2014,50.9888,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:37 UTC 2014,50.9887,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:42 UTC 2014,51.6899,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:47 UTC 2014,52.8876,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:52 UTC 2014,52.7127,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:57 UTC 2014,58.4025,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:02 UTC 2014,53.1525,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:07 UTC 2014,54.137,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:12 UTC 2014,54.137,0.6,5.0,CassandraNode_scaleOut,
