Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:27:37 UTC 2014,43.0542,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:42 UTC 2014,46.1692,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:47 UTC 2014,46.1692,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:52 UTC 2014,48.5572,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:57 UTC 2014,48.5572,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:02 UTC 2014,48.5572,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:07 UTC 2014,47.9125,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:12 UTC 2014,47.9125,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:17 UTC 2014,48.731,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:22 UTC 2014,48.731,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:28 UTC 2014,48.731,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:33 UTC 2014,79.403,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:38 UTC 2014,79.403,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:43 UTC 2014,50.8016,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:48 UTC 2014,50.8016,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:53 UTC 2014,54.3631,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:58 UTC 2014,54.3631,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:03 UTC 2014,54.3631,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:08 UTC 2014,53.5928,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:13 UTC 2014,53.5928,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:18 UTC 2014,53.8616,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:23 UTC 2014,53.8616,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:28 UTC 2014,53.2064,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:33 UTC 2014,53.2064,0.12,1.0,CassandraNode_scaleIn,
