Time ,cpuUsage ,cost ,currentThreadsBusy ,memUsed ,requestThroughput ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 13:58:58 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:59:06 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:59:14 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:59:21 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:59:28 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:59:35 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:59:41 UTC 2014,95.1049,0.12,32,38.8837,0.8125,1,,
Fri Feb 21 13:59:48 UTC 2014,95.1049,0.12,32,38.8837,0.8125,1,,
Fri Feb 21 13:59:55 UTC 2014,95.1049,0.12,32,38.8837,0.8125,1,,
Fri Feb 21 14:00:02 UTC 2014,95.1049,0.12,32,38.8837,0.8125,1,AppServer_scaleOut,AppServer
Fri Feb 21 14:00:17 UTC 2014,93.4,0.12,31,50.1917,0.7333,1,AppServer_scaleOut,AppServer
Fri Feb 21 14:00:29 UTC 2014,95.3954,0.12,31,48.6454,0.625,1,AppServer_scaleOut,AppServer
Fri Feb 21 14:00:41 UTC 2014,95.6044,0.12,31,47.7261,0.625,1,AppServer_scaleOut,AppServer
Fri Feb 21 14:00:52 UTC 2014,94.6,0.12,31,49.5993,0.6667,1,AppServer_scaleOut,AppServer
Fri Feb 21 14:01:05 UTC 2014,94.6,0.12,31,49.5993,0.6667,1,,
Fri Feb 21 14:01:13 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:01:21 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:01:29 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:01:37 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:01:45 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:01:52 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:01:59 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:02:07 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:02:14 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:02:20 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:02:26 UTC 2014,94.6161,0.24,31,49.4143,0.6667,2,,
Fri Feb 21 14:02:33 UTC 2014,86.9388,0.24,25.5,36.9223,1.1303,2,,
Fri Feb 21 14:02:42 UTC 2014,86.9388,0.24,25.5,36.9223,1.1303,2,,
Fri Feb 21 14:02:49 UTC 2014,86.9388,0.24,25.5,36.9223,1.1303,2,,
Fri Feb 21 14:02:55 UTC 2014,86.9388,0.24,25.5,36.9223,1.1303,2,,
Fri Feb 21 14:03:02 UTC 2014,86.9388,0.24,25.5,36.9223,1.1303,2,,
Fri Feb 21 14:03:08 UTC 2014,86.9388,0.24,25.5,36.9223,1.1303,2,,
Fri Feb 21 14:03:16 UTC 2014,66.9871,0.24,23,41.1343,1.3398,2,,
Fri Feb 21 14:03:23 UTC 2014,66.9871,0.24,23,41.1343,1.3398,2,,
Fri Feb 21 14:03:33 UTC 2014,66.9871,0.24,23,41.1343,1.3398,2,,
Fri Feb 21 14:03:42 UTC 2014,66.9871,0.24,23,41.1343,1.3398,2,,
Fri Feb 21 14:03:48 UTC 2014,66.9871,0.24,23,41.1343,1.3398,2,,
Fri Feb 21 14:03:57 UTC 2014,66.9871,0.24,23,41.1343,1.3398,2,,
