Time ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:42:07 UTC 2014,48.5001,7,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:14 UTC 2014,40.8596,7,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:21 UTC 2014,39.5253,7,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:29 UTC 2014,41.2407,8,,
Thu Feb 20 13:42:34 UTC 2014,41.2407,8,,
Thu Feb 20 13:42:39 UTC 2014,40.305,8,,
Thu Feb 20 13:42:45 UTC 2014,40.305,8,,
Thu Feb 20 13:42:50 UTC 2014,40.0881,8,,
Thu Feb 20 13:42:56 UTC 2014,40.0881,8,,
Thu Feb 20 13:43:01 UTC 2014,40.8139,8,,
Thu Feb 20 13:43:07 UTC 2014,42.7551,8,,
Thu Feb 20 13:43:12 UTC 2014,42.7551,8,,
Thu Feb 20 13:43:18 UTC 2014,43.1444,8,,
Thu Feb 20 13:43:23 UTC 2014,48.9423,8,,
Thu Feb 20 13:43:28 UTC 2014,50.0452,8,,
Thu Feb 20 13:43:34 UTC 2014,50.0452,8,,
Thu Feb 20 13:43:39 UTC 2014,49.0321,8,,
Thu Feb 20 13:43:45 UTC 2014,47.577,8,,
Thu Feb 20 13:43:50 UTC 2014,47.577,8,,
Thu Feb 20 13:43:55 UTC 2014,49.5977,8,,
Thu Feb 20 13:44:01 UTC 2014,50.2165,8,,
Thu Feb 20 13:44:06 UTC 2014,54.4697,8,,
Thu Feb 20 13:44:12 UTC 2014,54.4697,8,,
Thu Feb 20 13:44:17 UTC 2014,54.9602,8,,
Thu Feb 20 13:44:23 UTC 2014,52.1669,8,,
Thu Feb 20 13:44:29 UTC 2014,50.4706,8,,
Thu Feb 20 13:44:35 UTC 2014,50.4706,8,,
Thu Feb 20 13:44:40 UTC 2014,43.1545,8,,
Thu Feb 20 13:44:45 UTC 2014,43.1545,8,,
Thu Feb 20 13:44:51 UTC 2014,43.224,8,,
Thu Feb 20 13:44:56 UTC 2014,43.224,8,,
Thu Feb 20 13:45:01 UTC 2014,42.5058,8,,
Thu Feb 20 13:45:07 UTC 2014,48.1468,8,,
Thu Feb 20 13:45:12 UTC 2014,48.1468,8,,
Thu Feb 20 13:45:18 UTC 2014,48.1349,8,,
Thu Feb 20 13:45:23 UTC 2014,48.1349,8,,
Thu Feb 20 13:45:29 UTC 2014,47.8377,8,,
Thu Feb 20 13:45:34 UTC 2014,47.8377,8,,
Thu Feb 20 13:45:40 UTC 2014,47.9467,8,,
Thu Feb 20 13:45:45 UTC 2014,47.436,8,,
Thu Feb 20 13:45:51 UTC 2014,48.0305,8,,
Thu Feb 20 13:45:56 UTC 2014,48.0305,8,,
Thu Feb 20 13:46:01 UTC 2014,53.7833,8,,
Thu Feb 20 13:46:07 UTC 2014,53.7833,8,,
Thu Feb 20 13:46:12 UTC 2014,53.2105,8,,
Thu Feb 20 13:46:17 UTC 2014,50.8282,8,,
Thu Feb 20 13:46:23 UTC 2014,50.8282,8,,
Thu Feb 20 13:46:28 UTC 2014,49.3138,8,,
Thu Feb 20 13:46:34 UTC 2014,49.3138,8,,
Thu Feb 20 13:46:40 UTC 2014,50.7327,8,,
Thu Feb 20 13:46:45 UTC 2014,48.88,8,,
Thu Feb 20 13:46:50 UTC 2014,46.3707,8,,
Thu Feb 20 13:46:55 UTC 2014,46.3707,8,,
Thu Feb 20 13:47:01 UTC 2014,46.8959,8,,
Thu Feb 20 13:47:06 UTC 2014,46.8959,8,,
Thu Feb 20 13:47:12 UTC 2014,46.8618,8,,
Thu Feb 20 13:47:17 UTC 2014,46.8618,8,,
Thu Feb 20 13:47:23 UTC 2014,46.8618,8,,
Thu Feb 20 13:47:28 UTC 2014,53.1524,8,,
Thu Feb 20 13:47:33 UTC 2014,53.1524,8,,
Thu Feb 20 13:47:39 UTC 2014,51.3921,8,,
Thu Feb 20 13:47:44 UTC 2014,51.3921,8,,
Thu Feb 20 13:47:50 UTC 2014,50.0408,8,,
Thu Feb 20 13:47:55 UTC 2014,50.0408,8,,
Thu Feb 20 13:48:00 UTC 2014,51.2577,8,,
Thu Feb 20 13:48:06 UTC 2014,51.2577,8,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:13 UTC 2014,49.3885,8,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:20 UTC 2014,49.8645,8,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:28 UTC 2014,50.8724,8,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:35 UTC 2014,51.3904,8,CassandraNode_scaleOut,CassandraNode
