Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:42:27 UTC 2014,85.3147,0.12,1,,
Thu Feb 20 13:42:33 UTC 2014,85.3147,0.12,1,,
Thu Feb 20 13:42:38 UTC 2014,91.9,0.12,1,,
Thu Feb 20 13:42:44 UTC 2014,91.9,0.12,1,,
Thu Feb 20 13:42:49 UTC 2014,90.5095,0.12,1,,
Thu Feb 20 13:42:54 UTC 2014,90.5095,0.12,1,,
Thu Feb 20 13:43:00 UTC 2014,85.5145,0.12,1,,
Thu Feb 20 13:43:06 UTC 2014,85.4855,0.12,1,,
Thu Feb 20 13:43:11 UTC 2014,85.4855,0.12,1,,
Thu Feb 20 13:43:16 UTC 2014,85.4855,0.12,1,,
Thu Feb 20 13:43:22 UTC 2014,91.992,0.12,1,,
Thu Feb 20 13:43:27 UTC 2014,91.992,0.12,1,,
Thu Feb 20 13:43:33 UTC 2014,91.992,0.12,1,,
Thu Feb 20 13:43:38 UTC 2014,91.5916,0.12,1,,
Thu Feb 20 13:43:44 UTC 2014,85.7715,0.12,1,,
Thu Feb 20 13:43:49 UTC 2014,85.7715,0.12,1,,
Thu Feb 20 13:43:54 UTC 2014,85.7715,0.12,1,,
Thu Feb 20 13:44:00 UTC 2014,87.0612,0.12,1,,
Thu Feb 20 13:44:05 UTC 2014,87.0612,0.12,1,,
Thu Feb 20 13:44:11 UTC 2014,87.0612,0.12,1,,
Thu Feb 20 13:44:16 UTC 2014,90.4,0.12,1,,
Thu Feb 20 13:44:21 UTC 2014,86.3911,0.12,1,,
Thu Feb 20 13:44:27 UTC 2014,86.3911,0.12,1,,
Thu Feb 20 13:44:32 UTC 2014,86.3911,0.12,1,,
Thu Feb 20 13:44:38 UTC 2014,82.0461,0.12,1,,
Thu Feb 20 13:44:43 UTC 2014,82.0461,0.12,1,,
Thu Feb 20 13:44:49 UTC 2014,89.3681,0.12,1,,
Thu Feb 20 13:44:54 UTC 2014,89.3681,0.12,1,,
Thu Feb 20 13:44:59 UTC 2014,89.0438,0.12,1,,
Thu Feb 20 13:45:05 UTC 2014,89.0438,0.12,1,,
Thu Feb 20 13:45:10 UTC 2014,89.0438,0.12,1,,
Thu Feb 20 13:45:16 UTC 2014,87.5249,0.12,1,,
Thu Feb 20 13:45:21 UTC 2014,87.5249,0.12,1,,
Thu Feb 20 13:45:27 UTC 2014,87.9121,0.12,1,,
Thu Feb 20 13:45:32 UTC 2014,87.9121,0.12,1,,
Thu Feb 20 13:45:37 UTC 2014,89.4106,0.12,1,,
Thu Feb 20 13:45:43 UTC 2014,87.0389,0.12,1,,
Thu Feb 20 13:45:48 UTC 2014,87.0389,0.12,1,,
Thu Feb 20 13:45:54 UTC 2014,87.0389,0.12,1,,
Thu Feb 20 13:45:59 UTC 2014,88.4116,0.12,1,,
Thu Feb 20 13:46:05 UTC 2014,88.4116,0.12,1,,
Thu Feb 20 13:46:10 UTC 2014,87.9241,0.12,1,,
Thu Feb 20 13:46:16 UTC 2014,87.9241,0.12,1,,
Thu Feb 20 13:46:21 UTC 2014,86.7337,0.12,1,,
Thu Feb 20 13:46:26 UTC 2014,86.7337,0.12,1,,
Thu Feb 20 13:46:32 UTC 2014,86.7337,0.12,1,,
Thu Feb 20 13:46:37 UTC 2014,86.1167,0.12,1,,
Thu Feb 20 13:46:43 UTC 2014,86.1167,0.12,1,,
Thu Feb 20 13:46:48 UTC 2014,80.6646,0.12,1,,
Thu Feb 20 13:46:53 UTC 2014,80.6646,0.12,1,,
Thu Feb 20 13:46:59 UTC 2014,80.6646,0.12,1,,
Thu Feb 20 13:47:04 UTC 2014,87.1098,0.12,1,,
Thu Feb 20 13:47:10 UTC 2014,80.2209,0.12,1,,
Thu Feb 20 13:47:15 UTC 2014,80.2209,0.12,1,,
Thu Feb 20 13:47:21 UTC 2014,80.2209,0.12,1,,
Thu Feb 20 13:47:26 UTC 2014,80.7808,0.12,1,,
Thu Feb 20 13:47:31 UTC 2014,80.7808,0.12,1,,
Thu Feb 20 13:47:37 UTC 2014,77.6104,0.12,1,,
Thu Feb 20 13:47:42 UTC 2014,77.6104,0.12,1,,
Thu Feb 20 13:47:48 UTC 2014,76.6299,0.12,1,,
Thu Feb 20 13:47:53 UTC 2014,76.6299,0.12,1,,
Thu Feb 20 13:47:58 UTC 2014,76.6299,0.12,1,,
Thu Feb 20 13:48:04 UTC 2014,77.2317,0.12,1,,
Thu Feb 20 13:48:10 UTC 2014,77.2317,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:18 UTC 2014,86.2626,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:27 UTC 2014,86.2626,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:36 UTC 2014,89.2462,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:45 UTC 2014,89.2462,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:53 UTC 2014,74.8996,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:49:02 UTC 2014,81.9738,0.12,1,,
Thu Feb 20 13:49:09 UTC 2014,81.9738,0.12,1,,
Thu Feb 20 13:49:15 UTC 2014,83.7186,0.12,1,,
Thu Feb 20 13:49:20 UTC 2014,88.989,0.12,1,,
Thu Feb 20 13:49:26 UTC 2014,88.989,0.12,1,,
Thu Feb 20 13:49:31 UTC 2014,88.989,0.12,1,,
Thu Feb 20 13:49:37 UTC 2014,84.7166,0.12,1,,
Thu Feb 20 13:49:43 UTC 2014,83.283,0.12,1,,
Thu Feb 20 13:49:48 UTC 2014,83.283,0.12,1,,
Thu Feb 20 13:49:54 UTC 2014,83.283,0.12,1,,
Thu Feb 20 13:49:59 UTC 2014,83.283,0.12,1,,
Thu Feb 20 13:50:04 UTC 2014,78.6214,0.12,1,,
Thu Feb 20 13:50:10 UTC 2014,78.6214,0.12,1,,
Thu Feb 20 13:50:15 UTC 2014,79.2793,0.12,1,,
Thu Feb 20 13:50:21 UTC 2014,79.2793,0.12,1,,
Thu Feb 20 13:50:26 UTC 2014,83.8,0.12,1,,
Thu Feb 20 13:50:31 UTC 2014,83.8,0.12,1,,
Thu Feb 20 13:50:37 UTC 2014,87.4245,0.12,1,,
Thu Feb 20 13:50:43 UTC 2014,87.4245,0.12,1,,
Thu Feb 20 13:50:48 UTC 2014,80.7731,0.12,1,,
Thu Feb 20 13:50:54 UTC 2014,80.7731,0.12,1,,
Thu Feb 20 13:50:59 UTC 2014,80.7731,0.12,1,,
Thu Feb 20 13:51:05 UTC 2014,80.7731,0.12,1,,
Thu Feb 20 13:51:10 UTC 2014,86.4185,0.12,1,,
Thu Feb 20 13:51:16 UTC 2014,86.4185,0.12,1,,
Thu Feb 20 13:51:22 UTC 2014,86.4185,0.12,1,,
Thu Feb 20 13:51:28 UTC 2014,86.1055,0.12,1,,
Thu Feb 20 13:51:33 UTC 2014,83.384,0.12,1,,
Thu Feb 20 13:51:39 UTC 2014,83.384,0.12,1,,
Thu Feb 20 13:51:44 UTC 2014,83.384,0.12,1,,
Thu Feb 20 13:51:49 UTC 2014,83.384,0.12,1,,
Thu Feb 20 13:51:55 UTC 2014,84.3531,0.12,1,,
Thu Feb 20 13:52:00 UTC 2014,84.3531,0.12,1,,
Thu Feb 20 13:52:06 UTC 2014,84.3531,0.12,1,,
Thu Feb 20 13:52:12 UTC 2014,80.3625,0.12,1,,
Thu Feb 20 13:52:17 UTC 2014,73.9521,0.12,1,,
Thu Feb 20 13:52:22 UTC 2014,73.9521,0.12,1,,
Thu Feb 20 13:52:27 UTC 2014,73.9521,0.12,1,,
Thu Feb 20 13:52:34 UTC 2014,76.6299,0.12,1,,
Thu Feb 20 13:52:39 UTC 2014,76.6299,0.12,1,,
Thu Feb 20 13:52:44 UTC 2014,80.7808,0.12,1,,
Thu Feb 20 13:52:49 UTC 2014,80.7808,0.12,1,,
Thu Feb 20 13:52:55 UTC 2014,80.7808,0.12,1,,
Thu Feb 20 13:53:00 UTC 2014,80.7808,0.12,1,,
Thu Feb 20 13:53:06 UTC 2014,80.4238,0.12,1,,
Thu Feb 20 13:53:11 UTC 2014,80.4238,0.12,1,,
Thu Feb 20 13:53:16 UTC 2014,80.4238,0.12,1,,
Thu Feb 20 13:53:21 UTC 2014,80.4238,0.12,1,,
Thu Feb 20 13:53:27 UTC 2014,85.3707,0.12,1,,
Thu Feb 20 13:53:33 UTC 2014,85.3707,0.12,1,,
Thu Feb 20 13:53:38 UTC 2014,85.3707,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:53:47 UTC 2014,85.1365,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:53:55 UTC 2014,85.1365,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:04 UTC 2014,81.3814,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:12 UTC 2014,76.5296,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:21 UTC 2014,76.5296,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:29 UTC 2014,83.4853,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:37 UTC 2014,83.5657,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:47 UTC 2014,86.0302,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:55 UTC 2014,86.0302,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:04 UTC 2014,80.3589,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:12 UTC 2014,76.1715,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:21 UTC 2014,82.1682,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:29 UTC 2014,82.1682,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:37 UTC 2014,85.0957,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:46 UTC 2014,88.6228,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:54 UTC 2014,88.6228,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:02 UTC 2014,82.5605,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:11 UTC 2014,82.5605,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:19 UTC 2014,85.4839,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:28 UTC 2014,85.4839,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:36 UTC 2014,87.6877,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:44 UTC 2014,85.3175,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:53 UTC 2014,85.3175,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:01 UTC 2014,85.3175,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:10 UTC 2014,86.6801,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:18 UTC 2014,86.9,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:26 UTC 2014,86.9,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:35 UTC 2014,86.7944,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:43 UTC 2014,92.8072,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:51 UTC 2014,92.8072,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:58:00 UTC 2014,92.8072,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:58:08 UTC 2014,86.5731,0.12,1,CassandraNode_scaleIn,CassandraNode
