Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 14:38:18 UTC 2014,0.12,42.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:23 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:28 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:33 UTC 2014,0.12,61.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:38 UTC 2014,0.12,61.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:43 UTC 2014,0.12,14.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:48 UTC 2014,0.12,14.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:53 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:58 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:03 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:08 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:13 UTC 2014,0.12,106.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:18 UTC 2014,0.12,106.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:23 UTC 2014,0.12,7.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:28 UTC 2014,0.12,7.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:33 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:38 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:43 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:49 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:54 UTC 2014,0.12,44.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:39:59 UTC 2014,0.12,44.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:40:04 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:40:09 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:40:14 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:40:19 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:40:24 UTC 2014,0.12,13.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:40:29 UTC 2014,0.12,13.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:40:34 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:40:39 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:40:44 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:40:52 UTC 2014,0.12,6.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:41:00 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:41:08 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:41:16 UTC 2014,0.12,392.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:41:24 UTC 2014,0.12,20.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:41:32 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:41:40 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:41:48 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:41:56 UTC 2014,0.12,12.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:42:04 UTC 2014,0.12,37.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:42:12 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:42:20 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:42:28 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:42:36 UTC 2014,0.12,57.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:42:44 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:42:52 UTC 2014,0.12,253.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:43:00 UTC 2014,0.12,52.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:43:08 UTC 2014,0.12,52.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:43:13 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
