Time ,cost ,responseTime ,throughput ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 20:10:03 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:08 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:14 UTC 2014,0.36,2.0,34.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:19 UTC 2014,0.36,2.0,34.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:24 UTC 2014,0.36,3.5,41.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:29 UTC 2014,0.36,3.5,41.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:34 UTC 2014,0.36,4.0,5.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:39 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:45 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:50 UTC 2014,0.36,8.5,40.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:10:56 UTC 2014,0.36,8.5,40.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:01 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:06 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:11 UTC 2014,0.36,5.5,94.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:17 UTC 2014,0.36,5.5,94.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:22 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:27 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:32 UTC 2014,0.36,2.5,4.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:38 UTC 2014,0.36,2.5,4.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:43 UTC 2014,0.36,2.5,19.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:48 UTC 2014,0.36,2.5,19.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:53 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:11:58 UTC 2014,0.36,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:03 UTC 2014,0.36,6.0,108.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:08 UTC 2014,0.36,6.0,108.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:13 UTC 2014,0.36,6.0,124.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:20 UTC 2014,0.36,2.0,8.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:27 UTC 2014,0.36,2.0,8.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:32 UTC 2014,0.36,5.0,54.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:38 UTC 2014,0.36,5.0,54.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:43 UTC 2014,0.36,5.0,117.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:48 UTC 2014,0.36,5.0,117.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:53 UTC 2014,0.36,5.5,16.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:12:59 UTC 2014,0.36,5.5,16.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:04 UTC 2014,0.36,5.0,123.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:09 UTC 2014,0.36,5.0,123.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:14 UTC 2014,0.36,2.0,1.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:19 UTC 2014,0.36,2.0,1.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:24 UTC 2014,0.36,5.0,116.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:29 UTC 2014,0.36,5.5,134.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:35 UTC 2014,0.36,5.5,134.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:40 UTC 2014,0.36,4.5,137.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:46 UTC 2014,0.36,4.5,137.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:51 UTC 2014,0.36,5.5,156.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:13:57 UTC 2014,0.36,5.5,156.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:02 UTC 2014,0.36,4.0,27.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:07 UTC 2014,0.36,4.0,27.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:12 UTC 2014,0.36,5.5,51.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:18 UTC 2014,0.36,5.5,51.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:23 UTC 2014,0.36,6.0,21.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:28 UTC 2014,0.36,6.0,21.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:33 UTC 2014,0.36,5.0,144.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:38 UTC 2014,0.36,5.0,144.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:43 UTC 2014,0.36,1.5,2.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:48 UTC 2014,0.36,1.5,2.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:54 UTC 2014,0.36,5.0,133.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:14:59 UTC 2014,0.36,5.0,133.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:15:04 UTC 2014,0.36,5.5,95.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:15:09 UTC 2014,0.36,5.5,95.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:15:14 UTC 2014,0.36,5.0,130.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:15:19 UTC 2014,0.36,5.5,131.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:15:25 UTC 2014,0.36,5.5,131.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:15:30 UTC 2014,0.36,4.5,24.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:15:35 UTC 2014,0.36,4.5,24.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:15:40 UTC 2014,0.36,5.0,130.0,3.0,DataNodeServiceUnit_scaleIn,
