Time ,cost ,responseTime ,throughput ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:54:03 UTC 2014,0.36,7.5,235.0,30.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:08 UTC 2014,0.36,7.0,286.0,375.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:13 UTC 2014,0.36,7.0,286.0,375.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:18 UTC 2014,0.36,7.0,286.0,375.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:23 UTC 2014,0.36,8.5,140.0,375.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:28 UTC 2014,0.36,8.5,140.0,375.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:33 UTC 2014,0.36,8.5,140.0,375.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:38 UTC 2014,0.36,9.0,113.0,120.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:43 UTC 2014,0.36,9.0,113.0,120.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:48 UTC 2014,0.36,9.0,113.0,120.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:53 UTC 2014,0.36,9.0,97.0,101.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:58 UTC 2014,0.36,9.0,97.0,101.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:04 UTC 2014,0.36,9.0,97.0,101.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:09 UTC 2014,0.36,6.0,162.0,54.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:14 UTC 2014,0.36,6.0,162.0,54.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:19 UTC 2014,0.36,6.0,162.0,54.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:24 UTC 2014,0.36,6.0,162.0,54.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:29 UTC 2014,0.36,8.5,125.0,131.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:34 UTC 2014,0.36,8.5,125.0,131.0,3.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:44 UTC 2014,0.36,8.5,125.0,131.0,3.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:54 UTC 2014,0.36,7.5,205.0,125.0,3.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:04 UTC 2014,0.36,7.5,205.0,125.0,3.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:14 UTC 2014,0.36,7.5,106.0,152.0,3.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:24 UTC 2014,0.36,7.5,106.0,47.0,3.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:35 UTC 2014,0.36,7.5,117.0,47.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:40 UTC 2014,0.36,7.5,117.0,47.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:45 UTC 2014,0.36,7.5,35.0,41.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:50 UTC 2014,0.36,7.5,35.0,41.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:55 UTC 2014,0.36,7.5,35.0,41.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:00 UTC 2014,0.36,7.5,35.0,41.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:05 UTC 2014,0.36,7.5,141.0,117.0,3.0,DataNodeServiceUnit_scaleOut,
