Time ,cost/client/h , ongoingAction, targetedNodeID
Tue Feb 18 09:47:54 UTC 2014,0.06,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:59 UTC 2014,0.06,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:04 UTC 2014,0.01,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:09 UTC 2014,0.01,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:14 UTC 2014,0.01,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:19 UTC 2014,0.0316,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:24 UTC 2014,0.0316,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:30 UTC 2014,0.0066,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:35 UTC 2014,0.008,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:40 UTC 2014,0.008,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:45 UTC 2014,0.008,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:50 UTC 2014,0.008,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:55 UTC 2014,0.008,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:00 UTC 2014,0.0857,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:05 UTC 2014,0.0857,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:10 UTC 2014,0.6,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:15 UTC 2014,0.6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:21 UTC 2014,0.6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:27 UTC 2014,0.0039,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:33 UTC 2014,0.0039,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:39 UTC 2014,0.6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:45 UTC 2014,0.6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:52 UTC 2014,0.6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:58 UTC 2014,0.0068,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:04 UTC 2014,0.0068,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:10 UTC 2014,0.6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:16 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:21 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
