Time ,cost ,responseTime ,throughput ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 12:21:57 UTC 2014,0.6,7.6,185.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:22:06 UTC 2014,0.6,7.6,185.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:22:18 UTC 2014,0.6,2.4,37.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:22:30 UTC 2014,0.6,5.8,248.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:22:42 UTC 2014,0.6,5.8,248.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:22:55 UTC 2014,0.6,5.8,248.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:23:23 UTC 2014,0.6,7.2,253.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:23:35 UTC 2014,0.6,7.2,75.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:23:44 UTC 2014,0.6,11.25,75.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:23:55 UTC 2014,0.48,11.25,75.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:24:02 UTC 2014,0.48,11.25,75.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:24:12 UTC 2014,0.48,11.25,75.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:24:19 UTC 2014,0.48,8.0,117.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:24:26 UTC 2014,0.48,8.0,117.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:24:32 UTC 2014,0.48,14.75,153.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:24:41 UTC 2014,0.48,14.75,153.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:24:46 UTC 2014,0.48,14.75,153.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:24:53 UTC 2014,0.48,14.75,153.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:24:59 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:25:05 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:25:13 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:25:24 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:25:36 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:25:42 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:25:50 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:25:56 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:26:02 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:26:08 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:26:14 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:26:20 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:26:26 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:26:32 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:26:41 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:26:49 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:26:54 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:27:00 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:27:07 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:27:15 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:27:23 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:27:30 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:27:37 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:27:44 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:27:50 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:27:56 UTC 2014,0.48,5.75,85.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:28:03 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:28:14 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:28:20 UTC 2014,0.48,0.0,0.0,4.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:28:27 UTC 2014,0.48,0.0,0.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:28:49 UTC 2014,0.48,0.0,0.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:29:01 UTC 2014,0.48,5.5,104.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:29:13 UTC 2014,0.48,12.0,98.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:29:22 UTC 2014,0.48,12.0,98.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:29:41 UTC 2014,0.48,12.0,98.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:29:57 UTC 2014,0.48,8.0,144.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:30:20 UTC 2014,0.48,8.0,144.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:30:39 UTC 2014,0.48,8.0,144.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:30:54 UTC 2014,0.48,12.75,88.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:31:07 UTC 2014,0.48,12.75,88.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 12:31:20 UTC 2014,0.48,8.75,110.0,4.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
