Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:48:59 UTC 2014,0.12,7.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:04 UTC 2014,0.12,7.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:09 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:14 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:19 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:27 UTC 2014,0.12,153.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:35 UTC 2014,0.12,153.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:43 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:51 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:59 UTC 2014,0.12,88.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:07 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:15 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:21 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:26 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:31 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:36 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:41 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:46 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:51 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:56 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:01 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:06 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:11 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:16 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:21 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:26 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:31 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:36 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:41 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:46 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:52 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:57 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:02 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:07 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:12 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:17 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:22 UTC 2014,0.12,83.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:27 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:32 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:37 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:42 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:47 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:52 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:58 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:03 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:08 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:13 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:18 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:23 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:28 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:33 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:38 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:43 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:49 UTC 2014,0.12,22.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:54 UTC 2014,0.12,108.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:59 UTC 2014,0.12,108.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:04 UTC 2014,0.12,30.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:09 UTC 2014,0.12,375.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:14 UTC 2014,0.12,375.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:19 UTC 2014,0.12,375.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:24 UTC 2014,0.12,375.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:29 UTC 2014,0.12,375.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:34 UTC 2014,0.12,120.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:39 UTC 2014,0.12,120.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:44 UTC 2014,0.12,120.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:50 UTC 2014,0.12,120.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:55 UTC 2014,0.12,101.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:00 UTC 2014,0.12,101.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:05 UTC 2014,0.12,101.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:10 UTC 2014,0.12,54.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:16 UTC 2014,0.12,54.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:21 UTC 2014,0.12,54.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:26 UTC 2014,0.12,54.0,1.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:31 UTC 2014,0.12,131.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:39 UTC 2014,0.12,131.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:47 UTC 2014,0.12,125.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:56 UTC 2014,0.12,125.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:04 UTC 2014,0.12,125.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:12 UTC 2014,0.12,152.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:20 UTC 2014,0.12,152.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:28 UTC 2014,0.12,47.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:36 UTC 2014,0.12,47.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:41 UTC 2014,0.12,41.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:46 UTC 2014,0.12,41.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:51 UTC 2014,0.12,41.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:57 UTC 2014,0.12,41.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:02 UTC 2014,0.12,41.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:07 UTC 2014,0.12,117.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:12 UTC 2014,0.12,117.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:17 UTC 2014,0.12,117.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:22 UTC 2014,0.12,117.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:27 UTC 2014,0.12,165.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:32 UTC 2014,0.12,165.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:37 UTC 2014,0.12,165.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:43 UTC 2014,0.12,120.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:48 UTC 2014,0.12,120.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:53 UTC 2014,0.12,173.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:58 UTC 2014,0.12,173.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:03 UTC 2014,0.12,173.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:08 UTC 2014,0.12,173.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:13 UTC 2014,0.12,173.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:19 UTC 2014,0.12,149.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:24 UTC 2014,0.12,149.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:29 UTC 2014,0.12,101.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:34 UTC 2014,0.12,101.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:39 UTC 2014,0.12,137.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:44 UTC 2014,0.12,137.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:49 UTC 2014,0.12,137.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:58:57 UTC 2014,0.12,256.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:05 UTC 2014,0.12,256.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:13 UTC 2014,0.12,256.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:21 UTC 2014,0.12,256.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:30 UTC 2014,0.12,256.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:38 UTC 2014,0.12,256.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:46 UTC 2014,0.12,256.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:54 UTC 2014,0.12,228.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:02 UTC 2014,0.12,85.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:10 UTC 2014,0.12,76.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:18 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:26 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:34 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:43 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:51 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:59 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:07 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:15 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:23 UTC 2014,0.12,162.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:31 UTC 2014,0.12,114.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:39 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:47 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:55 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:03 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:11 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:19 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:28 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:36 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:44 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:02:49 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:02:54 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:02:59 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:04 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:09 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:14 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:19 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
