Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:47:02 UTC 2014,48.175,0.36,0.3303,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:07 UTC 2014,46.825,0.36,0.3298,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:13 UTC 2014,46.825,0.36,0.3298,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:18 UTC 2014,47.2,0.36,0.3297,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:23 UTC 2014,47.2,0.36,0.3297,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:28 UTC 2014,47.2,0.36,0.3297,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:33 UTC 2014,50.1,0.36,0.3294,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:38 UTC 2014,44.675,0.36,0.3285,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:43 UTC 2014,44.675,0.36,0.3285,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:48 UTC 2014,44.675,0.36,0.3285,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:53 UTC 2014,44.675,0.36,0.3285,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:58 UTC 2014,44.675,0.36,0.3285,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:03 UTC 2014,48.85,0.36,0.328,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:08 UTC 2014,48.85,0.36,0.328,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:13 UTC 2014,48.85,0.36,0.328,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:18 UTC 2014,48.85,0.36,0.328,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:23 UTC 2014,48.45,0.36,0.3274,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:28 UTC 2014,52.15,0.36,0.3265,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:33 UTC 2014,52.15,0.36,0.3265,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:39 UTC 2014,52.15,0.36,0.3265,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:44 UTC 2014,52.15,0.36,0.3265,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:49 UTC 2014,52.3,0.36,0.3265,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:54 UTC 2014,52.3,0.36,0.3265,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:59 UTC 2014,45.175,0.36,0.3262,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:04 UTC 2014,45.175,0.36,0.3262,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:09 UTC 2014,42.225,0.36,0.3257,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:14 UTC 2014,42.225,0.36,0.3257,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:19 UTC 2014,45.675,0.36,0.3255,3.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:28 UTC 2014,43.175,0.36,0.3252,3.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:37 UTC 2014,40.875,0.36,0.3252,3.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:46 UTC 2014,40.875,0.36,0.3252,3.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:55 UTC 2014,45.6,0.36,0.3248,3.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:04 UTC 2014,48.4,0.36,0.3248,3.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:13 UTC 2014,37.35,0.36,0.3246,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:19 UTC 2014,37.35,0.36,0.3246,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:25 UTC 2014,34.8,0.36,0.3246,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:30 UTC 2014,35.875,0.36,0.3246,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:35 UTC 2014,35.875,0.36,0.3246,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:40 UTC 2014,35.875,0.36,0.3246,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:45 UTC 2014,35.875,0.36,0.3246,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:50 UTC 2014,41.65,0.36,0.3245,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:55 UTC 2014,41.65,0.36,0.3245,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:00 UTC 2014,41.65,0.36,0.3245,3.0,EventProcessingServiceUnit_scaleOut,
