Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:46:33 UTC 2014,69.75,0.24,0.4154,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:38 UTC 2014,69.75,0.24,0.4154,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:43 UTC 2014,69.75,0.24,0.4154,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:48 UTC 2014,69.75,0.24,0.4154,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:53 UTC 2014,69.75,0.24,0.4154,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:58 UTC 2014,68.55,0.24,0.4039,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:03 UTC 2014,68.55,0.24,0.4039,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:08 UTC 2014,68.55,0.24,0.4039,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:13 UTC 2014,68.55,0.24,0.4039,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:19 UTC 2014,64.7,0.24,0.3988,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:24 UTC 2014,64.7,0.24,0.3988,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:29 UTC 2014,64.7,0.24,0.3988,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:34 UTC 2014,64.7,0.24,0.3988,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:39 UTC 2014,63.95,0.24,0.388,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:44 UTC 2014,63.95,0.24,0.388,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:49 UTC 2014,63.95,0.24,0.388,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:54 UTC 2014,63.95,0.24,0.388,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:59 UTC 2014,63.95,0.24,0.388,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:04 UTC 2014,72.3,0.24,0.3815,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:09 UTC 2014,72.3,0.24,0.3815,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:14 UTC 2014,72.3,0.24,0.3815,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:19 UTC 2014,72.3,0.24,0.3815,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:24 UTC 2014,72.3,0.24,0.3815,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:30 UTC 2014,67.3,0.24,0.3751,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:35 UTC 2014,67.3,0.24,0.3751,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:40 UTC 2014,67.3,0.24,0.3751,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:45 UTC 2014,67.6,0.24,0.369,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:50 UTC 2014,67.6,0.24,0.369,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:55 UTC 2014,67.6,0.24,0.369,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:00 UTC 2014,63.25,0.24,0.369,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:05 UTC 2014,63.25,0.24,0.369,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:10 UTC 2014,60.85,0.24,0.3668,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:15 UTC 2014,60.85,0.24,0.3668,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:24 UTC 2014,55.85,0.24,0.3646,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:33 UTC 2014,51.25,0.24,0.3646,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:42 UTC 2014,51.25,0.24,0.3646,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:51 UTC 2014,60.7,0.24,0.3614,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:00 UTC 2014,60.7,0.24,0.3614,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:10 UTC 2014,61.3,0.24,0.3596,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:19 UTC 2014,51.3,0.24,0.3592,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:24 UTC 2014,46.2,0.24,0.3592,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:29 UTC 2014,43.35,0.24,0.3586,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:34 UTC 2014,43.35,0.24,0.3586,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:39 UTC 2014,43.35,0.24,0.3586,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:44 UTC 2014,43.35,0.24,0.3586,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:49 UTC 2014,54.9,0.24,0.3586,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:54 UTC 2014,54.9,0.24,0.3586,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:59 UTC 2014,54.9,0.24,0.3586,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:04 UTC 2014,59.2,0.24,0.3585,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:09 UTC 2014,59.2,0.24,0.3585,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:14 UTC 2014,56.9,0.24,0.3582,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:19 UTC 2014,56.9,0.24,0.3582,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:24 UTC 2014,56.9,0.24,0.3582,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:29 UTC 2014,46.1,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:34 UTC 2014,46.1,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:39 UTC 2014,46.1,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:45 UTC 2014,51.2,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:50 UTC 2014,51.2,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:55 UTC 2014,51.2,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:00 UTC 2014,51.2,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:05 UTC 2014,56.8,0.24,0.3578,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:10 UTC 2014,56.8,0.24,0.3578,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:15 UTC 2014,56.8,0.24,0.3578,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:20 UTC 2014,60.65,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:25 UTC 2014,36.7,0.24,0.3583,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:30 UTC 2014,36.7,0.24,0.3583,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:35 UTC 2014,36.7,0.24,0.3583,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:40 UTC 2014,36.7,0.24,0.3583,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:45 UTC 2014,36.7,0.24,0.3583,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:50 UTC 2014,36.7,0.24,0.3583,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:55 UTC 2014,38.05,0.24,0.3574,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:01 UTC 2014,38.05,0.24,0.3574,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:06 UTC 2014,38.05,0.24,0.3574,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:11 UTC 2014,57.8,0.24,0.3575,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:16 UTC 2014,57.8,0.24,0.3575,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:21 UTC 2014,57.8,0.24,0.3575,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:26 UTC 2014,57.8,0.24,0.3575,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:31 UTC 2014,64.65,0.24,0.3574,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:36 UTC 2014,64.65,0.24,0.3574,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:41 UTC 2014,64.65,0.24,0.3574,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:46 UTC 2014,56.95,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:51 UTC 2014,56.95,0.24,0.358,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:56 UTC 2014,72.2,0.24,0.3573,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:01 UTC 2014,72.2,0.24,0.3573,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:06 UTC 2014,70.55,0.24,0.3577,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:11 UTC 2014,70.55,0.24,0.3577,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:16 UTC 2014,70.55,0.24,0.3577,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:22 UTC 2014,76.6,0.24,0.3562,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:27 UTC 2014,76.6,0.24,0.3562,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:32 UTC 2014,76.6,0.24,0.3562,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:37 UTC 2014,75.65,0.24,0.3565,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:42 UTC 2014,75.65,0.24,0.3565,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:47 UTC 2014,75.65,0.24,0.3565,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:52 UTC 2014,70.1,0.24,0.353,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:57 UTC 2014,70.1,0.24,0.353,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:02 UTC 2014,70.1,0.24,0.353,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:07 UTC 2014,70.1,0.24,0.353,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:12 UTC 2014,71.0,0.24,0.3505,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:17 UTC 2014,71.0,0.24,0.3505,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:22 UTC 2014,71.0,0.24,0.3505,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:27 UTC 2014,75.3,0.24,0.347,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:32 UTC 2014,75.3,0.24,0.347,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:41 UTC 2014,75.3,0.24,0.347,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:51 UTC 2014,77.35,0.24,0.3449,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:00 UTC 2014,77.35,0.24,0.3449,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:09 UTC 2014,70.85,0.24,0.341,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:18 UTC 2014,70.85,0.24,0.341,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:27 UTC 2014,70.85,0.24,0.338,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:36 UTC 2014,63.5,0.36,0.338,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:41 UTC 2014,64.35,0.36,0.3344,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:46 UTC 2014,64.35,0.36,0.3344,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:51 UTC 2014,64.35,0.36,0.3344,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:56 UTC 2014,64.35,0.36,0.3344,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:01 UTC 2014,64.35,0.36,0.3344,3.0,DataNodeServiceUnit_scaleOut,
