Time ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:17:33 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:39 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:29:05 UTC 2014,22.6619,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:10 UTC 2014,13.4734,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:15 UTC 2014,13.4734,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:20 UTC 2014,13.528,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:25 UTC 2014,13.528,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:30 UTC 2014,13.3642,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:35 UTC 2014,13.3141,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:40 UTC 2014,13.7901,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:45 UTC 2014,13.8901,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:50 UTC 2014,13.9869,4.0,AppServer_scaleIn,
Thu Feb 20 12:29:55 UTC 2014,13.9869,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:00 UTC 2014,13.9869,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:05 UTC 2014,13.9869,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:11 UTC 2014,14.1366,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:16 UTC 2014,14.0866,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:21 UTC 2014,13.526,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:26 UTC 2014,13.526,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:31 UTC 2014,14.6709,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:36 UTC 2014,14.671,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:41 UTC 2014,14.8099,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:46 UTC 2014,14.7974,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:51 UTC 2014,14.849,4.0,AppServer_scaleIn,
Thu Feb 20 12:30:56 UTC 2014,14.849,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:01 UTC 2014,14.8988,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:06 UTC 2014,15.5574,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:11 UTC 2014,15.5824,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:16 UTC 2014,15.3164,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:21 UTC 2014,15.3164,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:26 UTC 2014,15.3164,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:31 UTC 2014,15.5407,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:37 UTC 2014,15.5407,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:42 UTC 2014,18.1169,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:47 UTC 2014,18.1167,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:52 UTC 2014,18.1167,4.0,AppServer_scaleIn,
Thu Feb 20 12:31:57 UTC 2014,18.1167,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:02 UTC 2014,18.1418,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:07 UTC 2014,18.1418,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:12 UTC 2014,18.1418,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:17 UTC 2014,18.2415,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:22 UTC 2014,18.2415,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:27 UTC 2014,18.2415,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:32 UTC 2014,18.1544,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:37 UTC 2014,18.1544,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:42 UTC 2014,18.1544,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:47 UTC 2014,18.1544,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:52 UTC 2014,18.1544,4.0,AppServer_scaleIn,
Thu Feb 20 12:32:57 UTC 2014,18.1544,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:03 UTC 2014,18.1544,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:08 UTC 2014,0.1504,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:13 UTC 2014,0.1504,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:18 UTC 2014,0.2004,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:23 UTC 2014,19.0934,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:28 UTC 2014,19.0934,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:33 UTC 2014,18.9933,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:38 UTC 2014,18.9181,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:43 UTC 2014,18.9181,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:48 UTC 2014,18.9682,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:53 UTC 2014,17.5025,4.0,AppServer_scaleIn,
Thu Feb 20 12:33:58 UTC 2014,17.515,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:04 UTC 2014,18.6007,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:09 UTC 2014,18.6007,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:14 UTC 2014,18.6007,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:19 UTC 2014,20.8095,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:24 UTC 2014,20.8095,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:29 UTC 2014,20.797,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:34 UTC 2014,17.986,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:39 UTC 2014,17.986,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:44 UTC 2014,18.6882,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:49 UTC 2014,18.7007,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:54 UTC 2014,21.3071,4.0,AppServer_scaleIn,
Thu Feb 20 12:34:59 UTC 2014,21.3071,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:04 UTC 2014,21.3571,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:09 UTC 2014,21.3571,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:14 UTC 2014,18.7564,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:20 UTC 2014,18.7563,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:25 UTC 2014,20.4845,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:30 UTC 2014,20.4845,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:35 UTC 2014,0.3506,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:40 UTC 2014,0.3506,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:45 UTC 2014,0.3506,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:50 UTC 2014,0.3257,4.0,AppServer_scaleIn,
Thu Feb 20 12:35:55 UTC 2014,0.5516,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:00 UTC 2014,0.5516,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:05 UTC 2014,0.8298,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:10 UTC 2014,2.8861,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:15 UTC 2014,3.2144,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:20 UTC 2014,3.1267,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:25 UTC 2014,3.2426,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:30 UTC 2014,3.6934,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:36 UTC 2014,3.8497,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:41 UTC 2014,3.8673,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:46 UTC 2014,4.123,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:51 UTC 2014,4.1731,4.0,AppServer_scaleIn,
Thu Feb 20 12:36:56 UTC 2014,4.5095,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:01 UTC 2014,4.2008,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:06 UTC 2014,4.1758,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:11 UTC 2014,3.6979,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:16 UTC 2014,3.6979,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:21 UTC 2014,3.5995,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:26 UTC 2014,4.507,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:32 UTC 2014,4.507,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:37 UTC 2014,4.8913,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:42 UTC 2014,4.8913,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:47 UTC 2014,4.8611,4.0,AppServer_scaleIn,
Thu Feb 20 12:37:52 UTC 2014,5.1553,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:37:57 UTC 2014,5.1553,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:02 UTC 2014,3.9377,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:07 UTC 2014,3.9127,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:12 UTC 2014,4.3464,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:17 UTC 2014,4.7534,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:22 UTC 2014,4.9582,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:28 UTC 2014,4.9582,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:33 UTC 2014,5.1155,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:38 UTC 2014,5.1155,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:43 UTC 2014,5.8956,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:48 UTC 2014,5.8582,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:53 UTC 2014,5.8582,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:58 UTC 2014,5.7158,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:03 UTC 2014,5.5334,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:08 UTC 2014,5.4763,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:13 UTC 2014,5.5531,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:18 UTC 2014,5.5029,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:24 UTC 2014,4.7175,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:29 UTC 2014,4.7175,4.0,CassandraNode_scaleIn,
