Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:26:16 UTC 2014,14.656,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:21 UTC 2014,16.55,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:26 UTC 2014,16.55,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:31 UTC 2014,17.003,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:36 UTC 2014,17.003,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:41 UTC 2014,16.996,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:46 UTC 2014,16.996,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:51 UTC 2014,19.3831,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:56 UTC 2014,19.3831,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:01 UTC 2014,19.3831,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:06 UTC 2014,19.3831,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:11 UTC 2014,21.9374,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:16 UTC 2014,21.9374,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:22 UTC 2014,19.7448,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:27 UTC 2014,19.7448,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:32 UTC 2014,21.6273,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:37 UTC 2014,21.6273,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:42 UTC 2014,23.1848,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:47 UTC 2014,23.1848,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:52 UTC 2014,24.2786,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:57 UTC 2014,24.2786,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:02 UTC 2014,24.2786,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:07 UTC 2014,23.9563,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:12 UTC 2014,23.9563,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:17 UTC 2014,24.3655,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:22 UTC 2014,24.3655,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:27 UTC 2014,24.3905,0.24,2.0,CassandraNode_scaleIn,
