Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:07:37 UTC 2014,52.1916,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:42 UTC 2014,52.1916,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:47 UTC 2014,56.9827,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:52 UTC 2014,56.9827,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:58 UTC 2014,79.7418,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:03 UTC 2014,79.7418,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:08 UTC 2014,80.1811,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:13 UTC 2014,80.1811,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:18 UTC 2014,80.1811,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:23 UTC 2014,59.018,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:28 UTC 2014,59.018,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:33 UTC 2014,59.018,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:38 UTC 2014,76.2575,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:43 UTC 2014,76.2575,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:48 UTC 2014,87.3747,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:08:53 UTC 2014,87.3747,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:08:58 UTC 2014,87.3747,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:03 UTC 2014,87.3621,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:09 UTC 2014,87.3621,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:14 UTC 2014,87.3621,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:20 UTC 2014,81.4516,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:25 UTC 2014,81.4516,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:30 UTC 2014,61.5854,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:35 UTC 2014,61.5854,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:41 UTC 2014,61.5854,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:46 UTC 2014,52.3955,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:51 UTC 2014,52.3955,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:09:56 UTC 2014,52.3955,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:01 UTC 2014,51.7137,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:06 UTC 2014,51.7137,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:11 UTC 2014,74.0181,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:16 UTC 2014,74.0181,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:21 UTC 2014,74.0181,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:26 UTC 2014,57.0131,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:31 UTC 2014,57.0131,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:36 UTC 2014,57.0131,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:42 UTC 2014,52.2634,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:47 UTC 2014,81.0729,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:52 UTC 2014,81.0729,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:10:57 UTC 2014,81.0729,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:02 UTC 2014,81.0729,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:07 UTC 2014,60.9879,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:12 UTC 2014,60.9879,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:17 UTC 2014,60.9879,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:22 UTC 2014,81.5152,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:27 UTC 2014,79.2757,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:33 UTC 2014,79.2757,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:38 UTC 2014,79.2757,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:43 UTC 2014,75.2008,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:48 UTC 2014,75.2008,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:53 UTC 2014,75.2008,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:11:58 UTC 2014,87.9362,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:03 UTC 2014,87.9362,0.12,1.0,AppServer_scaleIn,
