Time ,memUsage ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:38:45 UTC 2014,9.971,0.2002,0.12,1,,
Thu Feb 20 13:38:51 UTC 2014,9.971,0.1001,0.12,1,,
Thu Feb 20 13:38:56 UTC 2014,9.971,0.1001,0.12,1,,
Thu Feb 20 13:39:02 UTC 2014,9.971,0.1001,0.12,1,,
Thu Feb 20 13:39:07 UTC 2014,9.971,0.2002,0.12,1,,
Thu Feb 20 13:39:12 UTC 2014,9.971,0.2002,0.12,1,,
Thu Feb 20 13:39:18 UTC 2014,9.971,0.2002,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:28 UTC 2014,9.965,0.1001,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:37 UTC 2014,9.971,0.2,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:47 UTC 2014,9.971,0.2,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:57 UTC 2014,9.971,0.2997,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:40:06 UTC 2014,9.971,0.2997,0.12,1,,
Thu Feb 20 13:40:13 UTC 2014,9.971,0.3,0.12,1,,
Thu Feb 20 13:40:20 UTC 2014,9.965,0.2,0.12,1,,
Thu Feb 20 13:40:25 UTC 2014,9.965,0.2,0.12,1,,
Thu Feb 20 13:40:30 UTC 2014,9.965,0.2,0.12,1,,
Thu Feb 20 13:40:36 UTC 2014,9.971,0.2002,0.12,1,,
Thu Feb 20 13:40:41 UTC 2014,9.971,0.2002,0.12,1,,
Thu Feb 20 13:40:47 UTC 2014,9.971,0.2002,0.12,1,,
Thu Feb 20 13:40:53 UTC 2014,9.971,0.2002,0.12,1,,
Thu Feb 20 13:40:58 UTC 2014,9.971,0,0.12,1,,
Thu Feb 20 13:41:03 UTC 2014,9.971,0,0.12,1,,
Thu Feb 20 13:41:09 UTC 2014,10.1459,5.7942,0.12,1,,
Thu Feb 20 13:41:14 UTC 2014,10.1459,5.7942,0.12,1,,
Thu Feb 20 13:41:20 UTC 2014,10.1459,5.7942,0.12,1,,
Thu Feb 20 13:41:25 UTC 2014,9.9632,0.1998,0.12,1,,
Thu Feb 20 13:41:31 UTC 2014,9.9632,0.1998,0.12,1,,
Thu Feb 20 13:41:36 UTC 2014,9.9632,0.1001,0.12,1,,
Thu Feb 20 13:41:42 UTC 2014,9.9632,0.1001,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:41:51 UTC 2014,9.9632,0,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:00 UTC 2014,9.9632,0,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:10 UTC 2014,9.9632,0,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:20 UTC 2014,9.9632,0,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:29 UTC 2014,9.9632,0,0.12,1,,
Thu Feb 20 13:42:35 UTC 2014,9.9632,0,0.12,1,,
Thu Feb 20 13:42:40 UTC 2014,9.9636,0.2002,0.12,1,,
Thu Feb 20 13:42:46 UTC 2014,9.9636,0.2002,0.12,1,,
Thu Feb 20 13:42:51 UTC 2014,9.9636,0.2002,0.12,1,,
Thu Feb 20 13:42:56 UTC 2014,9.9636,0.2002,0.12,1,,
Thu Feb 20 13:43:02 UTC 2014,9.9636,0.2,0.12,1,,
Thu Feb 20 13:43:08 UTC 2014,9.9636,0.1001,0.12,1,,
Thu Feb 20 13:43:14 UTC 2014,9.9636,0.1001,0.12,1,,
Thu Feb 20 13:43:20 UTC 2014,9.9636,0.1001,0.12,1,,
Thu Feb 20 13:43:25 UTC 2014,9.9576,0.2,0.12,1,,
Thu Feb 20 13:43:30 UTC 2014,9.9576,0.2,0.12,1,,
Thu Feb 20 13:43:36 UTC 2014,9.9697,0.2997,0.12,1,,
Thu Feb 20 13:43:41 UTC 2014,9.9697,0.2997,0.12,1,,
Thu Feb 20 13:43:47 UTC 2014,9.9697,0.2997,0.12,1,,
Thu Feb 20 13:43:52 UTC 2014,9.9697,0,0.12,1,,
Thu Feb 20 13:43:58 UTC 2014,9.9697,0,0.12,1,,
Thu Feb 20 13:44:03 UTC 2014,9.9697,0,0.12,1,,
Thu Feb 20 13:44:08 UTC 2014,9.9697,0,0.12,1,,
Thu Feb 20 13:44:14 UTC 2014,9.95,0,0.12,1,,
Thu Feb 20 13:44:19 UTC 2014,9.95,0,0.12,1,,
Thu Feb 20 13:44:24 UTC 2014,9.95,0,0.12,1,,
Thu Feb 20 13:44:30 UTC 2014,9.95,0,0.12,1,,
Thu Feb 20 13:44:35 UTC 2014,9.95,0,0.12,1,,
Thu Feb 20 13:44:41 UTC 2014,9.95,0.1002,0.12,1,,
Thu Feb 20 13:44:46 UTC 2014,9.95,0.1002,0.12,1,,
Thu Feb 20 13:44:52 UTC 2014,9.95,0.1002,0.12,1,,
Thu Feb 20 13:44:57 UTC 2014,9.95,0.1002,0.12,1,,
Thu Feb 20 13:45:03 UTC 2014,9.95,0.1002,0.12,1,,
Thu Feb 20 13:45:08 UTC 2014,9.956,0.2,0.12,1,,
Thu Feb 20 13:45:13 UTC 2014,9.956,0.2,0.12,1,,
Thu Feb 20 13:45:19 UTC 2014,9.956,0.2,0.12,1,,
Thu Feb 20 13:45:24 UTC 2014,9.956,0.2,0.12,1,,
Thu Feb 20 13:45:29 UTC 2014,9.956,0,0.12,1,,
Thu Feb 20 13:45:35 UTC 2014,9.956,0,0.12,1,,
Thu Feb 20 13:45:40 UTC 2014,9.956,0.2997,0.12,1,,
Thu Feb 20 13:45:46 UTC 2014,9.956,0.2997,0.12,1,,
Thu Feb 20 13:45:52 UTC 2014,9.956,0.2004,0.12,1,,
Thu Feb 20 13:45:57 UTC 2014,9.956,0.2004,0.12,1,,
Thu Feb 20 13:46:03 UTC 2014,9.956,0.2004,0.12,1,,
Thu Feb 20 13:46:08 UTC 2014,9.9621,0.3,0.12,1,,
Thu Feb 20 13:46:13 UTC 2014,9.9621,0.3,0.12,1,,
Thu Feb 20 13:46:19 UTC 2014,9.9621,0.3,0.12,1,,
Thu Feb 20 13:46:24 UTC 2014,9.9621,0.3,0.12,1,,
Thu Feb 20 13:46:30 UTC 2014,9.9621,0.1003,0.12,1,,
